month,type,value
29,w/ accuracy,1.0
29,w/ f1,1.0
28,w/ accuracy,0.8461538461538461
28,w/ f1,0.8568376068376069
27,w/ accuracy,0.9285714285714286
27,w/ f1,0.9297173414820473
26,w/ accuracy,0.9333333333333333
26,w/ f1,0.9339366515837104
25,w/ accuracy,1.0
25,w/ f1,1.0
24,w/ accuracy,0.9411764705882353
24,w/ f1,0.9380641145347027
23,w/ accuracy,1.0
23,w/ f1,1.0
22,w/ accuracy,0.95
22,w/ f1,0.9506666666666668
21,w/ accuracy,0.9523809523809523
21,w/ f1,0.9521630162362427
20,w/ accuracy,0.9545454545454546
20,w/ f1,0.9538140020898641
19,w/ accuracy,0.9130434782608695
19,w/ f1,0.9095496894409938
18,w/ accuracy,0.96
18,w/ f1,0.9576079734219267
17,w/ accuracy,0.9642857142857143
17,w/ f1,0.965244058267314
16,w/ accuracy,1.0
16,w/ f1,1.0
15,w/ accuracy,1.0
15,w/ f1,1.0
14,w/ accuracy,0.96875
14,w/ f1,0.9694727891156463
13,w/ accuracy,1.0
13,w/ f1,1.0
12,w/ accuracy,0.972972972972973
12,w/ f1,0.9739869739869739
11,w/ accuracy,0.9210526315789473
11,w/ f1,0.9190681622088007
10,w/ accuracy,0.975
10,w/ f1,0.9744631185807655
9,w/ accuracy,0.9523809523809523
9,w/ f1,0.9551020408163265
8,w/ accuracy,0.9069767441860465
8,w/ f1,0.9114617940199335
7,w/ accuracy,1.0
7,w/ f1,1.0
6,w/ accuracy,0.9318181818181818
6,w/ f1,0.9284745105640627
5,w/ accuracy,0.9318181818181818
5,w/ f1,0.9357187434990639
4,w/ accuracy,0.7272727272727273
4,w/ f1,0.7405303030303031
3,w/ accuracy,0.7333333333333333
3,w/ f1,0.6867167919799498
2,w/ accuracy,0.6222222222222222
2,w/ f1,0.5712544271476814
1,w/ accuracy,0.7777777777777778
1,w/ f1,0.7464387464387465
